,Players,Agents Played,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Maximum Kills in a single map,Kills,Deaths,Assists,First Kills,First Deaths,Cluthes Won,Clutches Played
137,starxo KOI,Sage Breach,46,0.76,123.0,0.59,0.7,78.6,0.37,0.48,0.0,0.13,0.18,,10,17,29,22,0,6,0,4
138,Melser KRÜ,Omen,41,0.76,135.0,0.63,0.68,86.1,0.49,0.27,0.07,0.15,0.34,,13,20,32,11,3,6,0,8
139,DubsteP TS,Killjoy Cypher Astra,79,0.75,139.0,0.68,0.61,100.3,0.49,0.16,0.1,0.13,0.24,0.08,14,39,57,13,8,10,1,13
140,Wolfen KOI,Jett,46,0.75,186.5,0.74,0.61,122.7,0.61,0.15,0.22,0.28,0.33,,14,28,38,7,10,13,,0
141,f0rsakeN PRX,Chamber Jett,38,0.75,210.0,0.74,0.61,148.9,0.66,0.05,0.26,0.16,0.23,0.25,17,25,34,2,10,6,1,4
142,Sacy SEN,Skye,39,0.74,171.5,0.77,0.72,112.7,0.62,0.26,0.08,0.15,0.36,0.14,13,24,31,10,3,6,1,7
143,ban T1,Killjoy,20,0.74,194.0,0.87,0.75,117.6,0.65,0.1,0.1,0.0,0.18,,13,13,15,2,2,0,0,5
144,Suggest DFM,Breach Kayo,37,0.72,154.5,0.68,0.65,90.8,0.57,0.38,0.11,0.14,0.3,,11,21,31,14,4,5,0,5
145,mindfreak PRX,Omen Astra,38,0.72,163.0,0.66,0.76,107.3,0.55,0.29,0.05,0.16,0.16,,12,21,32,11,2,6,0,4
146,koldamenta KOI,Viper Omen,46,0.72,110.0,0.5,0.63,74.9,0.37,0.41,0.02,0.07,0.21,,12,17,34,19,1,3,0,4
147,Benkai PRX,Sage Killjoy,38,0.71,165.5,0.66,0.76,112.7,0.55,0.29,0.05,0.11,0.21,,13,21,32,11,2,4,0,10
148,xeta T1,Kayo,20,0.71,172.0,0.63,0.75,106.4,0.5,0.7,0.0,0.15,0.29,,10,10,16,14,0,3,0,3
149,Anthem DFM,Killjoy,37,0.71,159.0,0.66,0.68,109.1,0.51,0.16,0.08,0.05,0.32,,13,19,29,6,3,2,0,5
150,SkRossi GES,Sage Kayo Sova,58,0.7,130.7,0.64,0.67,91.6,0.5,0.33,0.03,0.12,0.26,0.29,18,29,45,19,2,7,2,7
151,crow ZETA,Sova Kayo,41,0.7,135.5,0.52,0.66,90.9,0.41,0.39,0.05,0.12,0.21,,12,17,33,16,2,5,0,5
152,AvovA TH,Astra Omen,42,0.67,147.5,0.54,0.67,97.2,0.48,0.38,0.07,0.05,0.18,,12,20,37,16,3,2,0,3
153,xnfri DFM,Astra Raze,37,0.66,151.0,0.63,0.57,107.5,0.51,0.16,0.03,0.05,0.19,0.14,12,19,30,6,1,2,1,7
154,dephh SEN,Killjoy Astra,39,0.63,130.5,0.53,0.64,95.3,0.41,0.18,0.05,0.13,0.21,,9,16,30,7,2,5,0,5
155,d4v41 PRX,Skye Fade,38,0.63,138.5,0.52,0.66,90.2,0.42,0.42,0.03,0.08,0.28,,9,16,31,16,1,3,0,3
156,zekken SEN,Breach Raze,39,0.6,119.5,0.47,0.62,77.3,0.38,0.28,0.1,0.13,0.24,,8,15,32,11,4,5,0,3
157,soulcas TL,Sage Astra,41,0.59,112.5,0.53,0.56,70.3,0.39,0.24,0.02,0.1,0.24,,10,16,30,10,1,4,0,6
158,NagZ KRÜ,Jett Killjoy,41,0.58,106.5,0.42,0.59,78.3,0.34,0.07,0.07,0.05,0.18,,7,14,33,3,3,2,0,7
159,TENNN ZETA,Kayo Sova,41,0.58,132.5,0.5,0.56,84.4,0.41,0.2,0.07,0.29,0.23,0.17,9,17,34,8,3,12,1,6
160,2ge RRQ,Astra,24,0.51,111.0,0.56,0.58,82.9,0.42,0.25,0.0,0.04,0.29,,10,10,18,6,0,1,0,2
161,Seoldam DFM,Jett,17,0.27,129.0,0.44,0.53,79.5,0.41,0.12,0.12,0.24,0.31,,7,7,16,2,2,4,,0
